# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00032; 4769.7; -0.0; -9.0
3.0; 0.053; -0.00049; 4762.6; -0.0; -32.7
6.0; 0.106; -0.00068; 4755.5; -0.0; -63.7
9.0; 0.159; -0.00089; 4748.6; -0.1; -101.9
12.0; 0.212; -0.00110; 4741.8; -0.1; -146.5
15.0; 0.264; -0.00129; 4735.0; -0.1; -195.8
18.0; 0.317; -0.00143; 4728.3; -0.2; -246.8
21.0; 0.370; -0.00148; 4066.0; -3.3; -296.7
24.0; 0.422; -0.00143; 2475.8; -5.4; -343.4
27.0; 0.475; -0.00124; 219.6; -63.8; -384.6
30.0; 0.527; -0.00089; 5.0; -2679.9; -417.2
33.0; 0.580; -0.00040; 2.3; -5815.8; -438.0
36.0; 0.633; 0.00024; 1.5; -9049.9; -443.0
39.0; 0.687; 0.00098; 1.1; -12164.1; -428.1
42.0; 0.741; 0.00175; 0.9; -14934.2; -389.4
45.0; 0.796; 0.00242; 0.8; -17127.2; -327.3
48.0; 0.851; 0.00283; 0.7; -18500.5; -245.4
51.0; 0.908; 0.00303; 0.1; -18797.8; -141.5
54.0; 0.966; 0.00227; 0.0; -18836.6; -59.0
57.0; 1.025; 0.00108; 0.0; -18774.5; -9.9
60.0; 1.086; -0.00003; 0.0; -18596.5; -0.0
63.0; 1.148; -0.00033; 0.0; -18391.8; -0.0
66.0; 1.211; -0.00016; 0.0; -18190.1; -0.0
69.0; 1.276; -0.00000; 0.0; -17991.2; -0.0
72.0; 1.342; 0.00003; 0.0; -17795.2; -0.0
75.0; 1.411; 0.00001; 0.0; -17602.0; -0.0
78.0; 1.481; -0.00000; 0.0; -17411.6; -0.0
81.0; 1.553; -0.00000; 0.0; -17224.0; -0.0
84.0; 1.627; -0.00000; 0.0; -17039.1; -0.0
87.0; 1.703; 0.00000; 0.0; -16856.9; -0.0
90.0; 1.782; -0.00014; 0.0; -16656.0; -7.1
93.0; 1.863; -0.00069; 0.0; -16378.8; -40.2
96.0; 1.948; -0.00138; 0.0; -16012.3; -102.7
99.0; 2.036; -0.00218; 0.0; -15553.2; -194.3
102.0; 2.127; -0.00317; 0.0; -15002.2; -312.9
105.0; 2.223; -0.00455; 0.0; -14351.5; -458.3
108.0; 2.322; -0.00659; 0.0; -13575.0; -634.8
111.0; 2.427; -0.00969; 0.0; -12625.4; -851.1
114.0; 2.537; -0.01427; 0.0; -11442.3; -1116.7
117.0; 2.652; -0.02076; 0.0; -9981.1; -1434.8
120.0; 2.773; -0.02924; 0.0; -8269.8; -1791.7
123.0; 2.899; -0.03900; 0.0; -6473.6; -2148.8
126.0; 3.031; -0.04832; 0.0; -4875.7; -2451.8
129.0; 3.169; -0.05527; 0.0; -3700.7; -2665.4
132.0; 3.313; -0.05922; 0.0; -2964.7; -2793.7
135.0; 3.461; -0.06117; 0.0; -2535.3; -2864.1
138.0; 3.614; -0.06285; 0.0; -2255.6; -2904.4
141.0; 3.769; -0.06577; 0.0; -2001.1; -2933.9
144.0; 3.926; -0.07061; 0.0; -1707.1; -2961.8
147.0; 4.085; -0.07672; 0.0; -1397.5; -2985.9
150.0; 4.245; -0.08221; 0.0; -1157.8; -2998.7
153.0; 4.406; -0.08530; 0.0; -1028.5; -2997.1
156.0; 4.568; -0.08528; 0.0; -842.0; -2981.9
159.0; 4.733; -0.08217; 0.0; -0.0; -2960.6
162.0; 4.901; -0.07683; 1336.9; -0.0; -2934.7
165.0; 5.072; -0.07259; 2859.2; -0.0; -2948.4
168.0; 5.244; -0.07389; 2446.4; -0.0; -2995.7
171.0; 5.417; -0.08101; 4968.8; -0.0; -2538.7
174.0; 5.588; -0.08979; 6284.0; -0.0; -2188.8
177.0; 5.757; -0.09135; 5561.3; -0.0; -2371.4
180.0; 5.921; -0.08510; 5319.8; -0.0; -2435.5
183.0; 6.081; -0.07526; 5593.3; -0.0; -2366.1
186.0; 6.237; -0.06508; 6148.6; -0.0; -2216.0
189.0; 6.387; -0.05679; 6711.6; -0.0; -2056.9
192.0; 6.533; -0.05190; 7049.9; -0.0; -1963.9
195.0; 6.673; -0.05015; 7100.0; -0.0; -1962.9
198.0; 6.809; -0.04789; 7100.0; -0.0; -1974.8
201.0; 6.940; -0.04587; 7100.0; -0.0; -1987.5
204.0; 7.066; -0.04413; 7100.0; -0.0; -2000.3
207.0; 7.189; -0.04257; 7100.0; -0.0; -2012.9
210.0; 7.307; -0.04116; 7100.0; -0.0; -2025.4
213.0; 7.422; -0.03988; 7100.0; -0.0; -2037.7
216.0; 7.533; -0.03872; 7100.0; -0.0; -2049.8
219.0; 7.642; -0.03438; 7100.0; -0.0; -1989.4
222.0; 7.749; -0.02717; 7100.0; -0.0; -1806.1
225.0; 7.854; -0.01774; 7100.0; -0.0; -1452.0
228.0; 7.957; -0.00679; 7100.0; -0.0; -899.4
231.0; 8.060; 0.00473; 7100.0; -0.0; -185.7
234.0; 8.161; 0.01550; 7100.0; -0.1; 568.9
237.0; 8.261; 0.02379; 5234.9; -1.4; 1244.7
240.0; 8.359; 0.02793; 1607.7; -1.2; 1788.0
243.0; 8.457; 0.02722; 1.5; -2249.0; 2158.6
246.0; 8.555; 0.02254; 1.9; -5143.6; 2361.6
249.0; 8.654; 0.01570; 0.0; -6145.6; 2418.9
252.0; 8.754; 0.01001; 0.0; -6484.6; 2361.5
255.0; 8.857; 0.00722; 0.0; -7160.7; 2211.7
258.0; 8.963; 0.00726; 0.0; -8006.1; 2004.8
261.0; 9.072; 0.00977; 0.0; -8705.9; 1814.0
264.0; 9.184; 0.01430; 0.0; -8936.8; 1722.7
267.0; 9.301; 0.02055; 0.0; -8548.2; 1772.2
270.0; 9.423; 0.02837; 0.0; -7600.5; 1946.2
273.0; 9.549; 0.03730; 0.0; -6310.0; 2190.2
276.0; 9.681; 0.04623; 0.0; -4980.1; 2437.0
279.0; 9.817; 0.05358; 0.0; -3877.7; 2635.4
282.0; 9.959; 0.05849; 0.0; -3108.5; 2768.7
285.0; 10.107; 0.06137; 0.0; -2621.7; 2848.6
288.0; 10.261; 0.06359; 0.0; -2299.1; 2896.0
291.0; 10.419; 0.06663; 0.0; -2024.0; 2929.4
294.0; 10.581; 0.07139; 0.0; -1722.5; 2959.2
297.0; 10.745; 0.07749; 0.0; -1405.3; 2984.4
300.0; 10.911; 0.08314; 0.0; -1155.9; 2998.0
303.0; 11.078; 0.08645; 0.0; -1020.7; 2996.5
306.0; 11.248; 0.08663; 0.0; -649.2; 2983.8
309.0; 11.422; 0.08404; 0.0; -0.0; 2963.4
312.0; 11.600; 0.08011; 1906.8; -0.0; 2953.9
315.0; 11.782; 0.07901; 2491.0; -0.0; 2990.9
318.0; 11.965; 0.08283; 4219.3; -0.0; 2692.9
321.0; 12.145; 0.08849; 6318.5; -0.0; 2177.1
324.0; 12.319; 0.08799; 5834.5; -0.0; 2290.7
327.0; 12.486; 0.07991; 5757.6; -0.0; 2310.8
330.0; 12.646; 0.06659; 6323.9; -0.0; 2150.4
333.0; 12.799; 0.04832; 7100.0; -0.0; 1776.2
336.0; 12.943; 0.02245; 4792.4; -1.6; 1089.3
