# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00098; 5232.2; -0.0; -317.1
3.0; 0.058; -0.00091; 5218.2; -0.0; -298.2
6.0; 0.116; -0.00084; 5204.5; -0.0; -280.3
9.0; 0.174; -0.00078; 5191.0; -0.0; -263.3
12.0; 0.232; -0.00073; 5177.7; -0.0; -247.3
15.0; 0.290; -0.00067; 5164.6; -0.0; -232.1
18.0; 0.347; -0.00062; 5151.7; -0.0; -217.7
21.0; 0.405; -0.00057; 5139.1; -0.0; -204.1
24.0; 0.462; -0.00053; 5126.6; -0.0; -191.1
27.0; 0.519; -0.00049; 5114.4; -0.0; -178.8
30.0; 0.576; -0.00045; 5102.3; -0.0; -167.1
33.0; 0.633; -0.00041; 5090.5; -0.0; -156.0
36.0; 0.690; -0.00037; 5078.8; -0.0; -145.3
39.0; 0.746; -0.00034; 5067.3; -0.0; -135.2
42.0; 0.803; -0.00031; 5056.0; -0.0; -125.4
45.0; 0.859; -0.00028; 5044.9; -0.0; -116.0
48.0; 0.915; -0.00025; 5033.9; -0.0; -107.0
51.0; 0.971; -0.00022; 5023.1; -0.0; -98.3
54.0; 1.027; -0.00019; 5012.5; -0.0; -89.9
57.0; 1.083; -0.00017; 5002.0; -0.0; -81.9
60.0; 1.139; -0.00014; 4991.7; -0.0; -74.1
63.0; 1.194; -0.00012; 4981.5; -0.0; -66.6
66.0; 1.250; -0.00010; 4971.5; -0.0; -59.3
69.0; 1.305; -0.00008; 4961.6; -0.0; -52.2
72.0; 1.361; -0.00005; 4951.9; -0.0; -45.2
75.0; 1.416; -0.00002; 4942.3; -0.0; -38.1
78.0; 1.471; 0.00001; 4932.9; -0.0; -30.5
81.0; 1.526; 0.00006; 4923.5; -0.0; -21.9
84.0; 1.581; 0.00012; 4914.4; -0.0; -11.6
87.0; 1.635; 0.00021; 4905.3; -0.0; 1.4
90.0; 1.690; 0.00033; 4896.4; -0.0; 18.5
93.0; 1.745; 0.00049; 4887.6; -0.0; 41.2
96.0; 1.799; 0.00071; 4878.9; -0.0; 71.7
99.0; 1.853; 0.00099; 4870.3; -0.0; 112.0
102.0; 1.908; 0.00134; 4861.9; -0.0; 164.4
105.0; 1.962; 0.00175; 4853.6; -0.0; 230.6
108.0; 2.016; 0.00222; 4845.4; -0.0; 311.9
111.0; 2.070; 0.00273; 4837.3; -0.0; 408.4
114.0; 2.124; 0.00325; 4829.3; -0.0; 518.4
117.0; 2.178; 0.00373; 4821.5; -0.0; 638.6
120.0; 2.231; 0.00412; 4813.8; -0.0; 763.1
123.0; 2.285; 0.00437; 4806.3; -0.1; 884.4
126.0; 2.338; 0.00441; 4798.9; -0.1; 992.9
129.0; 2.392; 0.00419; 4791.6; -0.1; 1078.4
132.0; 2.445; 0.00367; 4721.3; -2.8; 1130.6
135.0; 2.498; 0.00286; 3591.6; -3.7; 1148.0
138.0; 2.552; 0.00177; 1618.1; -8.2; 1132.0
141.0; 2.605; 0.00046; 13.2; -1019.4; 1083.9
144.0; 2.658; -0.00097; 3.3; -4054.0; 1004.3
147.0; 2.712; -0.00237; 1.8; -7313.3; 893.9
150.0; 2.766; -0.00361; 1.3; -10573.2; 754.5
153.0; 2.820; -0.00452; 1.0; -13608.6; 591.0
156.0; 2.875; -0.00494; 0.8; -16184.6; 412.8
159.0; 2.931; -0.00473; 0.7; -18053.0; 235.1
162.0; 2.988; -0.00381; 0.2; -18948.6; 79.4
165.0; 3.046; -0.00173; 0.0; -18975.2; -0.0
168.0; 3.106; 0.00044; 0.0; -18764.7; 0.0
171.0; 3.166; 0.00407; 0.0; -17952.4; 187.6
174.0; 3.228; 0.00819; 0.0; -16309.1; 591.6
